serial_no,location_id,status,intake_date,used_date,current_order_id,note
240125120024001,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024002,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024003,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024004,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024005,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024006,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024007,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024008,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024009,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024021,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024022,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024023,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024024,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024025,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024026,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024027,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024028,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024029,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024030,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024031,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024032,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024034,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024042,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024043,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024044,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024045,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024046,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024047,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024048,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024051,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024052,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024053,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024054,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024055,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024056,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024057,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024058,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024059,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024060,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024081,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024082,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024083,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024084,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024085,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024086,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024087,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
240125120024129,ULS,IN_STOCK,2026-01-20,,,울산/엠지엘
